id,name,body,background,category,category2,type,thc
001,Super Lemon Haze,Green,Yellow,Haze,Fruits,Mostly Sativa,20
002,Super Silver Haze,Silver,Black,Haze,Legendary,Mostly Sativa,21
003,Maui Waui,Green,Pink,-,Legendary,Mostly Sativa,17
004,Orange Bud,Orange,Orange,-,Fruits,Mostly Indica,19
005,Gelato,Green ,Green,Gelato,Food / Sweets / Ice Cream,Hybrid,20
006,Cherry Pie,Green ,Red,-,Food / Fruits / Sweets,Mostly Indica,19
007,Grand Daddy Purple,Purple,Orange,Purple,OTHER,Mostly Indica,19
008,White Widow,White,Purple,-,Legendary,Hybrid,21
009,Acapulco Gold,Gold,Green,Gold,Legendary / Gold,Mostly Sativa,19
010,Zkittlez,Multi-Color,Blue,Zkittlez,Food / Sweets / Rainbows,Mostly Indica,19
011,Blue Dream,Blue,Blue,-,OTHER,Mostly Sativa,20
012,Amnesia Haze,Green ,Orange,Haze,OTHER,Mostly Sativa,18
013,Pineapple Express,Green ,Yellow,-,Food / Fruits,Mostly Indica,18
014,Girl Scout Cookies,Green ,Pink,Cookies,Food / Sweets,Mostly Indica,26
015,Alien OG,Green ,Green,OG,Space / Aliens,Hybrid,20
016,Gorilla Glue,Green ,Blue / Green,Glue,Animals,Mostly Indica,25
017,White Rhino,White,Green,-,Animals,Mostly Indica,20
019,Banana Kush,Yellow,Blue,Kush,Food / Fruits,Mostly Indica,21
020,ChemDog,Green ,Purple,-,Animals,Mostly Sativa,22
021,Northern Lights,Multi-Color,White,-,Legendary,Mostly Sativa,16
022,Mango Kush,Orange,Orange,Kush,Food / Fruits,Mostly Indica,18
023,Blueberry Muffin,Green ,Pink,-,Food / Fruits / Sweets,Mostly Indica,18
024,Jack Herer,Green,Green,-,Legendary,Hybrid,17
025,Blue Moon Rock,Blue,Blue,-,Space,Mostly Indica,20
026,Bubble Gum,Pink,Pink,-,Food / Sweets,Hybrid,17
027,Purple Queen,Purple,Purple,Purple,OTHER,Hybrid,25
028,Moby Dick,Green,Blue / Green,-,Animals / Fantasy,Mostly Sativa,18
029,White Shark,White,Green,-,Animals,Mostly Indica,20
031,Watermelon Kush,Red,Green,Kush,Food / Fruits,Mostly Indica,21
032,Diablo,Green,Orange / Pink,-,Spooky,Mostly Sativa,20
033,Cotton Candy Kush,White,Purple,Kush,Food / Sweets,Mostly Indica,20
034,Cheese,Yellow,Blue,Cheese,Food / Cheese,Mostly Indica,16
035,THC Bomb,Green,Green,-,OTHER,Hybrid,20
036,Purple Elephant,Purple,Purple,Purple,Animals,Mostly Indica,17
037,Cactus,Green,Yellow,-,Plants,Mostly Sativa,21
038,Strawberry Kush,Red,Purple,Kush,Food / Fruits,Mostly Sativa,20
040,Shark Attack,Green,Blue,-,Animals,Mostly Indica,16
041,ICE,Green,Blue,-,OTHER,Hybrid,20
042,Chocolope,Brown,Purple,-,Food / Sweets,Mostly Sativa,17
043,Jet Fuel,Green,Blue,-,OTHER,Mostly Sativa,20
044,Royal Gorilla,Green,Green,-,Animals,Mostly Indica,21
046,Saturn OG,Green,Blue,OG,Space,Hybrid,20
047,Gummy Bears,Green,Red / Orange,-,Food / Sweets / Animals,Hybrid,20
048,Nukeheads,Green,Green,-,OTHER,,23
049,Blue Wolf,Blue,Blue,-,Animals,,11
052,Cocoa Kush,Brown,Brown,Kush,Food / Sweets,Hybrid,21
054,Apple Kush,Red,Purple,Kush,Food / Fruits,Mostly Indica,20
055,Space Queen,Green,Purple / Pink,-,Space,Hybrid,14
056,Golden Tiger,Gold,Blue / Green,Gold,Animals / Gold,Mostly Sativa,18
058,Yeti OG,White,Blue,OG,Fantasy / Spooky,Mostly Indica,20
060,Popcorn Kush,White,Pink,Kush,Food / Sweets,Mostly Indica,21
061,Sour Diesel,Green,Green,Diesel,Food / Fruits,Mostly Sativa,18
065,Grape Ape,Green,Pink,-,Food / Fruits / Animals,Mostly Indica,17
066,Golden Goat,Gold,Blue,Gold,Animals / Gold,Mostly Sativa,20
067,White Russian,White,Blue,-,OTHER,Hybrid,18
068,Blueberry,Blue,Green,-,Food / Fruits,Mostly Indica,21
069,Lemon Kush,Yellow,Green,Kush,Food / Fruits,Hybrid,20
070,Strawberry Cough,Red,Purple / Pink,-,Food / Fruits,Mostly Sativa,17
071,Original Glue aka GG4,Green,Blue,Glue,OTHER,Mostly Indica,25
073,Green Crack,Green,Green,-,OTHER,Mostly Sativa,17
074,Lemon Bubble,Yellow / Green,Green,-,Food / Fruits,Mostly Sativa,19
075,Ghost OG,Green,Grey,OG,Fantasy / Spooky,Mostly Indica,21
076,Firefly OG,Green,Green,OG,Animals,Hybrid,25
077,Strawberry Banana,Yellow / Red,Pink,-,Food / Fruits,Mostly Indica,21
078,Monster Cookies,Green,Green,Cookies,Food / Sweets / Fantasy / Spooky,Mostly Indica,20
079,Cherry Kush,Red,Red,Kush,Food / Fruits,Mostly Indica,20
080,Magic Melon,Green,Pink,-,Food / Fruits,Mostly Sativa,21
081,Brain Candy,Pink,Purple / Pink,-,Food / Sweets,Hybrid,21
082,Panda OG,White / Black,Green,OG,Animals,Hybrid,22
083,Armageddon,Green,Green,-,Space,Mostly Sativa,17
084,Zombie Kush,Green,Green,Kush,Fantasy / Spooky,Mostly Indica,20
085,Blowfish,Green,Blue / Green,-,Animals,Mostly Indica,20
086,Black Mamba,Green,Green,-,Animals,Mostly Indica,20
087,Green Ninja,Green,Green,-,OTHER,Mostly Indica,22
088,Vanilla Kush,Yellow,Purple,Kush,Food / Sweets / Plants,Mostly Indica,18
090,Timewreck,Blue,Blue,-,OTHER,Mostly Sativa,20
091,Double Dream,Green,Green,-,OTHER,Mostly Sativa,18
092,Lemon Skunk,Green,Green,Skunk,Food / Fruits / Animals,Mostly Sativa,20
093,Golden Pineapple,Gold,Purple,Gold,Food / Fruits / Gold,Hybrid,20
094,Strawberry Alien Kush,Red,Purple / Pink,Kush,Food / Fruits / Alien / Space,Mostly Indica,12
095,LSD,Multi-Color,Blue,-,Trippy,Hybrid,22
096,Sherbert,Green,Blue / Green,Gelato,Food / Sweets / Ice Cream,Mostly Indica,18
097,Alien Dawg,Green,Blue,-,Animals / Aliens / Space,Mostly Indica,20
098,Big Mac,Multi-Color,Pink / Orange,-,Food,Mostly Indica,17
099,Harlequin,Green,Pink,-,OTHER,Mostly Sativa,9
100,Kiwi Skunk,Brown,Green,Skunk,Food / Fruits / Animals,Hybrid,15
101,Blue Banana,Blue,Blue,-,Food / Fruits,Mostly Sativa,21
102,Kandy Kush,Multi-Color,Multi-Color,Kush,Food / Sweets,Mostly Indica,20
103,Cherry Dawg,Red,Pink,-,Food / Fruits / Animals,Mostly Sativa,21
104,Lemon Tree,Green,Pink,-,Food / Fruits / Plants,Hybrid,20
105,Purple Moss,Purple,Purple,Purple,Plants,Mostly Indica,13
106,Apricot Jelly,Orange,Purple / Pink,-,Food / Fruits / Sweets,Mostly Sativa,29
107,Honey Bananas,Yellow,Orange,-,Food / Sweets,Hybrid,21
108,Trainwreck,Green,Green,-,OTHER,Mostly Sativa,20
109,Blue Cheese,White,Green,Cheese,Food / Cheese,Mostly Indica,20
110,Martian Muffins,Green,Orange,-,Aliens / Space / Food / Sweets,Mostly Indica,25
111,Wedding Gelato,Green,Pink,Gelato,Food / Sweets / Ice Cream,Mostly Indica,23
112,Black Tuna,Black,Green,-,Animals,Hybrid,19
113,Mandarin Zkittlez,Multi-Color,Purple,Zkittlez,Food / Fruits / Sweets,Mostly Indica,20
114,Banana Milk,Yellow / White,Blue,-,Food / Fruits,Mostly Indica,19
115,French Bread,Green,Green,-,Food,Mostly Indica,20
116,Strawberry Mango Haze,Red / Orange,Purple / Pink,Haze,Food / Fruits,Mostly Sativa,22
117,Lime Killer OG,Green / Yellow,Green,OG,Food / Fruits,Mostly Sativa,20
118,Milky Way,Black,Blue,-,Space,Mostly Indica,21
119,Glass Apple,Green,Blue / Green,-,Food / Fruits,Mostly Sativa,22
121,Diamond OG,Blue,Green,OG,Gemstones,Hybrid,18
122,Melon Gum,Orange,Pink / Orange,-,Food / Fruits / Sweets,Mostly Indica,21
123,Ghost Cookies,White,Green,Cookies,Food / Sweets / Fantasy / Spooky,Mostly Indica,20
125,Blue Mammoth,Blue,Blue,-,Animals,Mostly Indica,14
127,Lemon Garlic,Green / White,Green / Yellow,-,Food / Fruits,Mostly Indica,19
